,shopcode,shopname,shoplat,shoplng
0,abmy,上紅小火鍋 (新莊中港店),25.0531908,121.45147382
1,quv4,淺草堂黑糖粉圓專賣店 (花蓮自強夜市店),23.97085237,121.61001368
2,zw2g,百盛咖哩 (新竹金山店),24.7768648,121.0214004
3,a0cp,6吋盤早午餐 (高雄楠梓朝明店),22.72506336,120.32881148
4,ygpt,清心福全 (芎林文山店),24.7770514,121.0777665
5,m6cd,Pizza Hut必勝客 (苗栗苑裡店),24.44177118,120.65105704
6,z8yj,鮮茶道 (鼎山明誠店),22.65967475,120.32198775
7,s8gf,鹿工現炒,24.07655869,120.41182442
8,cpw1,Sunrise Cafe커피,23.0044264,120.2156797
9,q9nf,津菁炒飯 (板橋四維館),25.0295074,121.4626876
10,p6p2,仙鼎廣東粥 (台南鹽行店),23.0400257,120.2387678
11,ywbd,佳 鹿港肉圓芋丸,23.16237021,120.17647451
12,wqp1,騰之雞排專門店 (大社金龍店),22.7299602,120.353846
13,kxr2,全羅道正宗石鍋飯,24.8346581,121.0074804
14,fzpl,北味香永和豆漿,25.0665891,121.6554848
15,x6eh,厚食雞蛋糕,24.90272755,121.04636206
16,w0ck,麗媽香香鍋 (新北三重三和店),25.06752381,121.50045305
17,rxe6,植作茶 無咖啡因飲品專賣,24.14670116,120.65453175
18,xrhm,北回木瓜牛奶 (台中逢甲總店),24.17585292,120.6452872
19,i2b7,程記美食館(排骨酥/雞肉飯/魯肉飯),25.06031434,121.48785865
20,wsyi,蛋白盒子健康低卡餐盒 (雲林虎尾店),23.7100087,120.4382274
21,lqjt,騰園旺角燒臘店,25.0563006,121.4308168
22,o3vz,藥膳食補,24.9675728,121.517892
23,fmqh,季洋咖啡 (仁武中正吧),22.70214685,120.34996392
24,zsex,悟饕池上飯包 (彰化溪湖店),23.9592488,120.4774704
25,u1mh,陳家炒飯炒麵,23.45720391,120.4744455
26,u5oh,福美香鍋燒意麵,25.0762337,121.48412148
27,mb6x,渴望茶飲 (桃園南園店),24.9717816,121.2349669
28,z4hs,食宣小館,24.68647374,120.90878737
29,vec5,168早午餐,25.10028235,121.7368289
30,z5wt,檸檬愛玉&古早味豬血糕,22.99151449,120.19701754
31,r88r,加 樂咖哩丼飯 (新北新莊店),25.05050989,121.45209935
32,yqtx,億品城桶仔雞,23.00148245,120.16760739
33,d2gr,Mister Donut (員林大潤發店),23.9477815,120.563429
34,ljvh,海威水產,25.0841277,121.4793348
35,ffd4,石一籠湯包 (鳳山埤頂店),22.629104,120.38161
36,tjvl,橘子工坊 (忠孝敦化總店),25.04162553,121.54800308
37,zznr,兩津搞烏龍 (內壢店),24.96714432,121.26049873
38,uuej,冰心茶韻,23.9567761,120.5832794
39,boqa,騰手作料理壽司專賣店,23.79951,120.459232
40,j7jn,Zhan wei早午餐,22.6142191,120.3085067
41,z7we,竹蒸籠包子,24.96243701,121.2961868
42,w5o2,寓葉 咖喱專賣,24.803392,120.9577017
43,a2b4,野小2早餐店,24.981865,121.50662657
44,wm4r,芋見綠豆 (高雄楠梓店),22.7285448,120.3295034
45,bi2v,哈囉台式炒飯,23.04341957,120.26253255
46,d6ss,八方雲集 (草屯虎山店),23.9784603,120.685844
47,yhvl,老客馥粥品 (神岡大漢店),24.2531246,120.6983147
48,ty2p,秘境職人茶飲 (台南安富店),23.0258208,120.1921711
49,mhb3,金正好吃 (新北景平店),24.9918633,121.5168334
50,yble,麗麗豬腳飯 (泰山明志店),25.0409045,121.42504392
51,dayf,加顆蛋早午餐 Eplus CAFE’,23.4768587,120.4603953
52,fhde,多那之 (高雄漢神門市),22.6202537,120.2971383
53,uzw8,蘭陽多朗克,25.17524138,121.44645185
54,d2df,永和豆漿 (台北和平店),25.02253075,121.5504177
55,d8il,佛羅倫斯義法料理餐廳,24.1881413,120.59425839
56,chhp,K.S Food Court,25.17647027,121.44743785
57,a8hw,牛栽麵,22.7108345,120.29246994
58,qerz,益全便當,24.70213212,120.90124397
59,gzow,黃記古早味紅茶,25.12769672,121.74134669
60,ytiq,哦嗨呦早午餐,24.15973998,120.665879
61,v8ox,微笑的魚 (桃園龍岡分店),24.93394885,121.2562247
62,a3eq,晨間廚房 (虎尾林森店),23.7120381,120.4363729
63,e9n8,拉亞漢堡 (龍井東海店),24.1822785,120.59263963
64,b2dj,胖老爹美式炸雞 (彰化花壇店),24.0279202,120.5473407
65,b1d5,cama café (基隆仁愛店),25.1282661,121.74573915
66,k7ty,六十滷炒泡麵(龍潭店),24.86518083,121.21378607
67,tt7q,Q Burger 早午餐 (潮州中山店),22.5496032,120.5388358
68,uuzs,吳爺爺牛羊肉麵、手工水餃,23.9927191,121.5753083
69,d8py,森本日式和風洋食堂,22.6204108,120.29924759
70,l3eg,珍記手工烙餅 (大灣店),23.0081472,120.2658047
71,ellx,野原親子早晚餐,24.2622718,120.7033242
72,y1vm,黑沃咖啡 (新竹竹北店),24.832033,121.01086014
73,a9bx,秉峯鍋燒店 (雲林虎尾店),23.7068983,120.43177645
74,fdhq,陳媽咪飯糰 (勝利店),22.99112519,120.21771545
75,e5jr,縣政府壽司水丼屋,23.4566724,120.2977459
76,d0pq,一展熱炒,22.6819993,120.4892582
77,hiys,翰林茶館 (竹北遠百店),24.82283891,121.02388341
78,bhuv,小豬麵食館,23.70966969,120.5431133
79,s84l,走心雞蛋糕&BDY (板橋江翠店),25.03277194,121.46570025
80,jhpx,沅樂茶飲,22.6228373,120.331867
81,iyfb,上味食堂（台東總店）,22.7597556,121.1395147
82,c4je,台灣魯肉飯 (嘉義僑平店),23.4838215,120.432529
83,uag9,CoCo都可 (新竹大庄店),24.7896303,120.9278081
84,uu6l,鮮菓奶奶,25.09300925,121.46182362
85,d8dr,卡賀廚房 (台北小巨蛋店),25.0528826,121.5476177
86,b4bf,迷客夏 Milksha (臺中霧峰店),24.06719971,120.6989975
87,x1cl,爭鮮迴轉壽司 (楠梓店),22.727537,120.325342
88,dg4f,八丼食堂,24.6858708,120.9096568
89,d0cq,95平價厚切牛排館,25.14617391,121.7264668
90,mjqa,豆花媽愛上胖狸貓,25.0858913,121.478549
91,x1wg,濠誠牛排,25.0903366,121.46943455
92,cvs8,川業肉圓,25.0367327,121.5012991
93,e0jo,梁社漢排骨 (新莊建福店),25.02694,121.42682746
94,h03m,老賴茶棧 (高雄小港店),22.56681899,120.35321909
95,nor2,繼光香香雞 (羅東民權店),24.67633667,121.76698752
96,hv55,越素蔬食（全素料理）,22.62221323,120.35695134
97,td77,白巷子 (南市安平店),23.00019207,120.16197282
